0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+03 -4.496593708951405755e-01
4.000000000000000000e+03 -1.134334594199524648e+00
5.999999999999999091e+03 -1.998146408124494400e+00
8.000000000000000000e+03 -3.000428389460224388e+00
1.000000000000000000e+04 -4.110929491296228200e+00
1.200000000000000000e+04 -5.306751179087699555e+00
1.400000000000000182e+04 -6.570319614845598011e+00
1.600000000000000182e+04 -7.887996076681579538e+00
1.800000000000000364e+04 -9.249102211115321381e+00
2.000000000000000364e+04 -1.064521470228629951e+01
2.200000000000000000e+04 -1.206964917751102462e+01
2.400000000000000000e+04 -1.351707465329875291e+01
2.600000000000000364e+04 -1.498322145707187047e+01
2.800000000000000364e+04 -1.646465657167975394e+01
3.000000000000000364e+04 -1.795861133627517603e+01
3.200000000000000364e+04 -1.946284609197271465e+01
3.400000000000000728e+04 -2.097554478610326001e+01
3.600000000000000728e+04 -2.249523171052069159e+01
3.800000000000000728e+04 -2.402070471128819307e+01
4.000000000000000728e+04 -2.555098282319479353e+01
4.200000000000000000e+04 -2.708526399873107593e+01
4.400000000000000000e+04 -2.862289132459045504e+01
4.600000000000000000e+04 -3.016332619480532884e+01
4.800000000000000000e+04 -3.170612575996373650e+01
5.000000000000000000e+04 -3.325092563017172154e+01
5.200000000000000728e+04 -3.479742540996407740e+01
5.400000000000000728e+04 -3.634537709451045373e+01
5.600000000000000728e+04 -3.789457543194454558e+01
5.800000000000000728e+04 -3.944485035810622264e+01
6.000000000000000728e+04 -4.099606070819599068e+01
6.200000000000000728e+04 -4.254808914964061017e+01
6.400000000000000728e+04 -4.410083776176362846e+01
6.600000000000001455e+04 -4.565422472418814692e+01
6.800000000000001455e+04 -4.720818141522896383e+01
7.000000000000001455e+04 -4.876264994225808636e+01
7.200000000000001455e+04 -5.031758144048642833e+01
7.400000000000001455e+04 -5.187293500080374287e+01
7.600000000000001455e+04 -5.342867554020627807e+01
7.800000000000001455e+04 -5.498477313183705206e+01
8.000000000000001455e+04 -5.654120227356740003e+01
8.200000000000001455e+04 -5.809794084851965579e+01
8.400000000000000000e+04 -5.965496981352735872e+01
8.600000000000000000e+04 -6.121227252415379638e+01
8.799999999999998545e+04 -6.276983442763721399e+01
8.999999999999998545e+04 -6.432764229064429173e+01
9.199999999999997090e+04 -6.138908918591401687e+01
9.399999999999995634e+04 -5.610060376794208992e+01
9.599999999999995634e+04 -4.902096953757833830e+01
9.799999999999994179e+04 -4.055684128884629303e+01
9.999999999999994179e+04 -3.101072332486522498e+01
1.019999999999999272e+05 -2.465852191580020403e+01
1.039999999999999272e+05 -1.974418097578595876e+01
1.059999999999999127e+05 -1.590116768327512276e+01
1.079999999999999127e+05 -1.287026701427822495e+01
1.099999999999998981e+05 -1.046344675599490692e+01
