,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10,surface_disp_step11,surface_disp_step12,surface_disp_step13,surface_disp_step14,surface_disp_step15,surface_disp_step16,surface_disp_step17,surface_disp_step18,surface_disp_step19,surface_disp_step20
0,0.0,111.23708525011487,195.48665942032363,272.7127444110434,343.4233317548348,408.10105910924835,467.219424947681,521.2314832729228,570.5628630793008,615.609149010162,656.7356772093938,694.2785429775644,728.5461834076201,759.8212015155943,788.3622550505443,814.4059157820708,838.1684499402525,859.8474954890141,879.6236260873969,897.6617996768005,914.1126942053924
1,0.0125,83.61843386441356,144.85401292614955,200.130876404568,250.22393088480615,295.7155387981241,337.0882030124125,374.7554758467505,409.07793105076786,440.37342335982606,468.9243430973859,494.9830288225255,518.7759601088673,540.507101244759,560.3606311170518,578.5032152677437,595.0859272045486,610.245894636298,624.1077254715312,636.784754227303,648.3801396046968
2,0.025,34.59522182671195,60.546391185193485,84.16644159875871,105.66839213385998,125.24451259629657,143.07285153317778,159.31604996800712,174.12136228673748,187.62163022898503,199.93659587642165,211.17424573580755,221.43206451523181,230.79816152708807,239.35226727615827,247.16661061907192,254.30669052008687,260.8319563718617,266.7964094631156,272.24913645406616,277.23478406283266
3,0.037500000000000006,-32.741758642971845,-56.81271056050021,-78.51724411529673,-98.1430998610014,-115.91879726824351,-132.0392787934465,-146.6737881180873,-159.97050569092198,-172.06002804687324,-183.0581105020802,-193.06785545169407,-202.1814743840192,-210.48172189245054,-218.04307663059544,-224.9327257175597,-231.21139498521725,-236.93405689388857,-242.1505401279722,-246.90605912894776,-251.24167758527136
4,0.05,-88.16896620848347,-154.66357688123915,-215.63850137285192,-271.5454031238995,-322.77710850302793,-369.70407215182985,-412.67484871165664,-452.01456366650376,-488.02458445979465,-520.983109252177,-551.1462556788839,-578.7493867343875,-604.0085241525571,-627.1217657339268,-648.2706606460729,-667.6215182851906,-685.3266388232668,-701.5254609167871,-716.3456263652281,-729.9039640059661
5,0.0625,-103.59701948997686,-179.30671481858244,-247.51867095531853,-309.23411908223386,-365.2064209184814,-416.05621615818706,-462.311793328922,-504.4307800875434,-542.8142831402696,-577.8168974998356,-609.7541373652482,-638.9081493530292,-665.532230469912,-689.8544848308616,-712.0808411110352,-732.3975831032859,-750.9735009222733,-767.9617406413752,-783.5014098766654,-797.7189827018819
6,0.07500000000000001,-89.47795621191891,-157.05007250920903,-218.9401095489295,-275.596504465591,-327.43055535010404,-374.83629202864495,-418.18471854052854,-457.8203336586011,-494.06052627547257,-527.1964825752528,-557.4947524525753,-585.1990468797037,-610.5320618671323,-633.6972347566876,-654.8803923407498,-674.2512766384125,-691.9649470044345,-708.1630633478434,-722.9750579265045,-736.5192041412798
7,0.08750000000000001,-31.422477324787256,-54.3336580622604,-75.00191185724069,-93.73737947065922,-110.76423459597272,-126.26359949135099,-140.38869137742356,-153.27231952958851,-165.0313348908938,-175.76955964384578,-185.57986120694827,-194.54570476604542,-202.742367010692,-210.23791734024857,-217.09403175121315,-223.366681393034,-229.10672402029985,-234.36041806675968,-239.16987360774976,-243.5734508493971
8,0.1,32.83732830608999,57.535878177803426,80.22620422235991,101.0852771431035,120.25331888315303,137.85821835706278,154.01968942457083,168.85000784326874,182.45416329970237,194.92997926190858,206.36830691327916,216.85329588652004,226.4627211161545,235.26834353030935,243.33628637977642,250.7274138149509,257.49770244483284,263.69859978565216,269.3773658285677,274.5773956060561
9,0.1125,84.15121741569394,145.67031606231885,201.07599048725353,251.1805949929114,296.60086205477785,337.84673565632926,375.352529129944,409.4941074467851,440.60038385414225,468.96160567857544,494.83557171241716,518.4524378348137,540.0185233669647,559.7193893810216,577.7223731140546,594.1787068837076,609.2253131292431,622.9863423359095,635.5745034174878,647.0922240275187
10,0.125,109.7541563679302,192.56820706118995,268.45729391312625,337.9812652713929,401.6393878185066,459.9055114824142,513.2250230676019,562.0119304566632,606.648436734278,647.485987005523,684.8470042038452,719.0268902414751,750.2960781098731,778.9020292769601,805.071126576704,829.0104416897333,850.909371354841,870.9411442278653,889.2642042056473,906.0234778390002
11,0.1375,83.41798823154805,144.3345878902123,199.22940901696057,248.91621987571904,294.0012435254787,334.98120622541575,372.2778975771426,406.2563919621327,437.23667424024165,465.50173839264755,491.303536947632,514.8675257691461,536.3962449004264,556.0722115076353,574.0603055110491,590.5097703973692,605.5559149187889,619.3215772866339,631.9183972161252,643.4479299393577
12,0.15000000000000002,34.98574887144735,61.458224082350924,85.6584568662819,107.75670429771357,127.92201224341746,146.3196681147661,163.1052860919842,178.42236691806986,192.40195320421617,205.16320389550822,216.8143033702401,227.45344582736087,237.16978705639482,246.04432334355474,254.1506868346198,261.55585910245037,268.3208094083185,274.50106548578833,280.1472245674897,285.30541170918747
