0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 -1.207890618507108937e-01
2.000000000000000000e+01 -2.571949797171572127e-01
3.000000000000000000e+01 -4.043019498435956316e-01
4.000000000000000000e+01 -5.589747243686671307e-01
4.999999999999999289e+01 -7.191753795794473270e-01
5.999999999999999289e+01 -8.835579482517533778e-01
6.999999999999998579e+01 -1.051218324299810547e+00
8.000000000000000000e+01 -1.221541269018600273e+00
9.000000000000000000e+01 -1.394102897097317495e+00
1.000000000000000000e+02 -1.568608776573940933e+00
1.100000000000000142e+02 -1.624059376570414548e+00
1.200000000000000142e+02 -1.665478499272643464e+00
1.300000000000000284e+02 -1.697672853027431428e+00
1.400000000000000284e+02 -1.723697765174193375e+00
1.500000000000000284e+02 -1.745531518410373018e+00
1.600000000000000284e+02 -1.764475713809730673e+00
1.700000000000000000e+02 -1.781399758131358535e+00
1.800000000000000000e+02 -1.796890931562624694e+00
1.900000000000000000e+02 -1.811351354229909116e+00
1.999999999999999716e+02 -1.825058995946701179e+00
