0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 -1.260043895786710499e-01
4.000000000000000000e+01 -2.558458186970813397e-01
6.000000000000000000e+01 -3.895084146550525928e-01
8.000000000000000000e+01 -5.269764640751481988e-01
9.999999999999998579e+01 -6.682344362651759795e-01
1.199999999999999858e+02 -6.872624307145129841e-01
1.399999999999999716e+02 -7.062122906694558999e-01
1.600000000000000000e+02 -7.250845827424302614e-01
1.800000000000000000e+02 -7.438798578632873637e-01
2.000000000000000000e+02 -7.625986096837954475e-01
