, surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10,surface_disp_step11,surface_disp_step12,surface_disp_step13,surface_disp_step14,surface_disp_step15,surface_disp_step16,surface_disp_step17,surface_disp_step18,surface_disp_step19,surface_disp_step20,surface_disp_step21,surface_disp_step22,surface_disp_step23,surface_disp_step24,surface_disp_step25,surface_disp_step26,surface_disp_step27,surface_disp_step28,surface_disp_step29,surface_disp_step30,surface_disp_step31,surface_disp_step32,surface_disp_step33,surface_disp_step34,surface_disp_step35,surface_disp_step36,surface_disp_step37,surface_disp_step38,surface_disp_step39,surface_disp_step40
0,0.32929687500000004,-41.79237734083791,-73.12150045075705,-102.87353796156941,-131.12794947512086,-157.96016027121215,-183.44178065039253,-207.640806167726,-230.6218038968091,-252.4460874209005,-273.1718819476948,-292.8544805958374,-311.5463924749932,-329.2974831164307,-346.15510775297724,-362.16423779289903,-377.3675808983129,-391.8056949970755,-405.51709650854036,-418.5383631389492,-430.9042314913476,-442.64768973100956,-453.8000656099126,-464.3911100505161,-474.449076507469,-484.0007963522446,-493.0717504510416,-501.68613713746726,-509.86693677309887,-517.6359730492251,-525.0139712072269,-532.0206133268484,-538.6745908301203,-544.9936543485999,-550.994661070384,-556.6936197156806,-562.1057332363564,-567.2454393805687,-572.1264491970113,-576.7617836239108,-581.1638082151342
1,0.32890625,-42.71243776273516,-74.73199633349635,-105.13991877445163,-134.01731323377822,-161.44121409011632,-187.48478096456333,-212.21749173062045,-235.7053271548641,-258.01094676400294,-279.19385597409456,-299.3105648987183,-318.4147391507666,-336.5573430408049,-353.78677559110366,-370.1489996689344,-385.68766462889755,-400.444222783909,-414.4580399816083,-427.766500642051,-440.4051075038679,-452.4075763226227,-463.8059258290732,-474.6305631513875,-484.91036492421665,-494.6727543337026,-503.9437742728104,-512.7481568125392,-521.1093891859615,-529.0497764419066,-536.590500949428,-543.7516789056854,-550.5524139980406,-557.0108483712914,-563.1442110193278,-568.9688637527368,-574.5003448404825,-579.7534104692513,-584.7420740973376,-589.4796438505679,-593.9787580146435
2,0.328515625,-43.6065950054669,-76.29572037703467,-107.33929688391774,-136.82023412595657,-164.81723202655573,-191.40500977186645,-216.65451478999435,-240.6331171373772,-263.4047921069533,-285.03029252508685,-305.56731183018934,-325.0706385860832,-343.5923030127564,-361.18171605344327,-377.8858013407897,-393.7491204885712,-408.81399205331746,-423.120604459517,-436.70712325718574,-449.6097929692228,-461.863033780246,-473.49953338206,-484.5503341858048,-495.04491612939984,-505.0112753343564,-514.4759987910103,-523.4643352821519,-532.000262746096,-540.1065522396075,-547.8048286856277,-555.1156285617828,-562.0584546834762,-568.6518282357487,-574.9133381759407,-580.8596881613571,-586.5067411027097,-591.869561489336,-596.9624555653476,-601.7990095065021,-606.3921256541125
3,0.328125,-44.493495248489054,-77.84823686812844,-109.52414219044593,-139.60570018797173,-168.1731566425305,-195.3027213084037,-221.06676886056962,-245.53403116549356,-268.7697804362895,-290.83600330458114,-311.79156623284865,-331.69237259324024,-350.5915118305257,-368.5394011421264,-385.58391999332446,-401.77053787097685,-417.142435609349,-431.7406205770263,-445.60403609319,-458.76966533234645,-471.2726299716004,-483.1462838994191,-494.4223021994709,-505.13076564218807,-515.3002409419832,-524.9578569630341,-534.1293770874827,-542.8392679507875,-551.1107647079713,-558.9659330193206,-566.4257279147157,-573.5100496933089,-580.2377970159131,-586.6269173148285,-592.6944546779541,-598.456595310573,-603.9287107231937,-609.1253987268738,-614.060522388082,-618.7472470013719
4,0.327734375,-45.35357445563791,-79.35229782145583,-111.6395463740482,-142.30155187130066,-171.42016753097616,-199.07310621351647,-225.334157824404,-250.2733915232494,-273.9573456673734,-296.44920702527133,-317.80898039591136,-338.0936493171468,-357.3573284706962,-375.651408321949,-393.02469237494245,-409.52352748416916,-425.1919275825871,-440.0716911320379,-454.2025126776964,-467.6220887758007,-480.36621855680426,-492.4688992502234,-503.96241689068046,-514.8774324433936,-525.2430636118917,-535.086962515412,-544.4353894541102,-553.3132829708048,-561.7443263763998,-569.7510109313317,-577.3546958453642,-584.5756652553449,-591.4331823414817,-597.945540709472,-604.1301131979003,-610.003398216878,-615.5810637685878,-620.8779892333773,-625.9083050756528,-630.6854305297128
5,0.32734375000000004,-46.205946986940255,-80.84444105735061,-113.73948730618672,-144.97882525469112,-174.64578835477644,-202.81951898407115,-229.57517702255382,-254.98413945707932,-279.1141905421523,-302.02970254608016,-323.7918075124504,-344.4585603737441,-364.08509384887134,-382.72376557075296,-400.42429777604144,-417.2339099731925,-433.1974449361603,-448.35748832407353,-462.7544823074821,-476.4268334714097,-489.4110152594339,-501.741665288467,-513.4516777570083,-524.5722911889102,-535.1331717790647,-545.1624925321314,-554.6870084161243,-563.7321277431374,-572.3219799474568,-580.4794799569545,-588.2263893231168,-595.5833742720614,-602.5700608402549,-609.2050872247713,-615.5061535100773,-621.4900688798194,-627.1727964665771,-632.5694959253993,-637.6945638875585,-642.561672356526
6,0.32695312500000007,-47.03062197596745,-82.28651976366474,-115.76765575967646,-147.5634509174292,-177.75878553764844,-206.43424632771817,-233.6663518919459,-259.52776245161687,-284.08747683108504,-307.4110183114748,-329.56061052915527,-350.59534413139437,-370.57133482056696,-389.54187334368675,-407.55756782457206,-424.66647889478264,-440.91424799730936,-456.34421918100793,-470.99755477999776,-484.9133452584115,-498.12871349279675,-510.6789138290557,-522.5974261425177,-533.9160451486678,-544.6649652356347,-554.8728610139722,-564.5669638096983,-573.7731343167117,-582.5159315820969,-590.8186785238865,-598.7035241496446,-606.1915026409932,-613.302589470889,-620.055754685981,-626.4690135184908,-632.5594744385876,-638.3433848023909,-643.8361741835671,-649.0524955470388,-654.0062643286136
7,0.32656250000000003,-47.847152498549704,-83.71598896675411,-117.77945435866471,-150.12840345658483,-180.84912888846642,-210.0235836235378,-237.7295968557275,-264.0410806341668,-289.02822673636007,-312.75769380993023,-335.29278521841366,-356.6936179381463,-377.01728295153174,-396.31799759532475,-414.6472502094862,-432.0539375150106,-448.5844950812729,-464.28302119394084,-479.1913945160517,-493.34938582299105,-506.7947640854157,-519.5633972399993,-531.6893478796146,-543.2049641140013,-554.140965875419,-564.5265268682862,-574.3893523922694,-583.7557532583396,-592.6507159742074,-601.0979694021759,-609.1200480606141,-616.7383522367827,-623.9732050808772,-630.8439068159996,-637.368786230938,-643.5652495691619,-649.4498269713289,-655.0382165613848,-660.3453263368468,-665.3853139288636
8,0.326171875,-48.63515168237669,-85.0938618486913,-119.71725979890307,-152.5978178018568,-183.82331236233776,-213.4770797760455,-241.63824936013842,-268.3819603607946,-293.7795656782274,-317.8988240739556,-340.80408207730875,-362.55644633134557,-383.2139470325999,-402.83169303908375,-421.4620190601985,-439.15462539841684,-455.9567106308338,-471.9130975598221,-487.0663528390067,-501.4569005656648,-515.1231301215796,-528.1014986093312,-540.4266281213659,-552.1313980982453,-563.2470330551117,-573.8031858796423,-583.8280169349722,-593.3482691907496,-602.3893395619713,-610.9753466620185,-619.1291951440899,-626.8726368014103,-634.2263285989596,-641.2098877739139,-647.8419441739612,-654.1401899493214,-660.1214267578204,-665.8016105751678,-671.1958942730116,-676.3186680320894
9,0.32578125,-49.41458116215935,-86.45845287576238,-121.63781400906203,-155.0464945142452,-186.77361313848445,-216.9038070771055,-245.51745483110057,-272.6908895447758,-298.49660228808017,-323.00343530514226,-346.27676567026543,-368.3786797076406,-389.36813863301217,-409.3011358877794,-428.2308465239422,-446.20776907985993,-463.27986032002576,-479.49266316032026,-494.88942818241304,-509.5112290284133,-523.3970719590532,-536.5839999250222,-549.1071913915267,-561.0000541757602,-572.2943145794526,-583.0201020230503,-593.2060294183285,-602.8792695057487,-612.0656273390874,-620.7896091269064,-629.074487607844,-636.9423641326305,-644.4142276283658,-651.5100105846362,-658.2486422328899,-664.648099037252,-670.7254526581821,-676.4969154831495,-681.9778838888645,-687.1829793041126
