, surface_points,surface_disp_step1
0,0.27421875,6.544505359212496
1,0.275,5.84311690131846
2,0.27578125,5.132486028583405
3,0.2765625,4.414170132726622
4,0.27734375,3.6888232148641804
5,0.278125,2.9580085374068563
6,0.27890625,2.2224175793680483
7,0.27968750000000003,1.4836098358172813
8,0.28046875000000004,0.7423100004673054
9,0.28125,6.418624066290253e-05
10,0.28203125,-0.7423741664283361
11,0.2828125,-1.483481859064378
12,0.28359375,-2.222481349722324
13,0.284375,-2.9578817453992774
14,0.28515625,-3.688886196443992
15,0.2859375,-4.4140453071770125
16,0.28671875,-5.132547833084078
17,0.28750000000000003,-5.842994811815584
18,0.28828125000000004,-6.54456560558641
19,0.2890625,-7.235920310444931
20,0.28984375,-7.916233954839939
21,0.290625,-8.58423395417111
22,0.29140625,-9.239096089345288
23,0.2921875,-9.879622941020818
24,0.29296875,-10.504996124147125
25,0.29375,-11.114100767129539
26,0.29453125,-11.70612936457617
27,0.29531250000000003,-12.280056466193548
28,0.29609375000000004,-12.835090424787836
29,0.296875,-13.370301533608624
30,0.29765625,-13.88491888442807
31,0.2984375,-14.378114245990465
32,0.29921875000000003,-14.849142201939685
33,0.30000000000000004,-15.29728110283546
34,0.30078125,-15.721815619933375
35,0.3015625,-16.12213513481739
36,0.30234375,-16.497558816593894
37,0.30312500000000003,-16.84759084253677
38,0.30390625000000004,-17.171589077152504
39,0.3046875,-17.46917555031707
40,0.30546875,-17.739750780915443
41,0.30625,-17.983056981736855
42,0.30703125000000003,-18.19854102204548
43,0.30781250000000004,-18.38606688688795
44,0.30859375,-18.545131206142717
45,0.309375,-18.675720575691063
46,0.31015625,-18.777384489469735
47,0.27265625000000004,7.916175638034114
48,0.2734375,7.236038911181117
49,0.31093750000000003,-18.8502322368354
50,0.31171875000000004,-18.893868953302576
51,0.27187500000000003,8.584348334930144
52,0.3125,-18.908525947898518
53,0.0,-18.893866432186464
54,0.0,-18.850242308766862
55,0.27109375,9.239040061652599
56,0.2703125,9.879732396609501
57,0.26953125,10.504942730999023
58,0.26875,11.114204622720067
59,0.26796875,11.706078935161576
60,0.2671875,12.280154081484039
61,0.26640625,12.835043270023135
62,0.265625,13.370392306770611
63,0.26484375000000004,13.884875295040441
64,0.26406250000000003,14.378197617379657
65,0.26328125,14.849102446674694
66,0.2625,15.297356558442123
67,0.26171875,15.721779943898039
68,0.2609375,16.122202209435084
69,0.26015625,16.497527439745348
70,0.259375,16.847649122631022
71,0.25859375,17.171562192942414
72,0.2578125,17.469224676574292
73,0.25703125000000004,17.73972855509613
74,0.25625000000000003,17.983096651279805
75,0.25546875,18.198523591649614
76,0.2546875,18.38609685514404
77,0.25390625,18.54511867863755
78,0.253125,18.675740657898977
79,0.25234375,18.777376942094136
80,0.2515625,18.850242309183916
81,0.25078125,18.89386643259128
82,0.25,18.908525948291143
83,0.24921875,18.89386895368321
84,0.27187500000000003,8.584348334930144
85,0.2484375,18.850232237204054
86,0.24765625000000002,18.777384489826563
87,0.0,7.916175638034114
88,0.0,7.236038911181117
89,0.246875,18.675720576036355
90,0.0,18.54513120647636
91,0.0,18.386066887210028
92,0.36640625000000004,17.17158907912973
93,0.36562500000000003,16.847590844471384
94,0.36484375,16.497558818487178
95,0.3640625,16.122135136670224
96,0.36328125,15.721815621746783
97,0.36250000000000004,15.29728110461019
98,0.36171875000000003,14.849142203676653
99,0.3609375,14.378114247690327
100,0.36015625,13.884918886091969
101,0.359375,13.370301535237191
102,0.35859375000000004,12.835090426381926
103,0.35781250000000003,12.280056467753921
104,0.35703125,11.706129366103548
105,0.35625,11.114100768624482
106,0.35546875,10.50499612561046
107,0.35468750000000004,9.879622942453205
108,0.35390625000000003,9.239096090747411
109,0.353125,8.584233955543455
110,0.35234375,7.916233956183079
111,0.3515625,7.235920311759473
112,0.35078125000000004,6.544565606873039
113,0.35000000000000003,5.842994813074809
114,0.34921875,5.132547834316481
115,0.3484375,4.414045308383102
116,0.34765625,3.688886197624321
117,0.34687500000000004,2.9578817465543747
118,0.34609375000000003,2.222481350852692
119,0.3453125,1.4834818601704576
120,0.34453125,0.7423741675106241
121,0.34375,-6.418518171911066e-05
122,0.34296875000000004,-0.7423099994312509
123,0.34218750000000003,-1.4836098348036784
124,0.34140625,-2.2224175783764992
125,0.340625,-2.9580085364369375
126,0.33984375,-3.6888232139155073
127,0.33906250000000004,-4.414170131798815
128,0.33828125000000003,-5.132486027676082
129,0.36796875,17.73975078298058
130,0.3671875,17.469175552337703
131,0.3375,-5.8431169004313235
132,0.33671875,-6.544505358345149
133,0.36875,17.983056983847604
134,0.3359375,-7.236038910333192
135,0.33515625000000004,-7.916175637205185
136,0.33437500000000003,-8.584348334119806
137,0.33359375,-9.23904006086067
138,0.3328125,-9.879732395835676
139,0.33203125,-10.50494273024288
140,0.33125000000000004,-11.11420462198134
141,0.33046875000000003,-11.70607893444003
142,0.3296875,-12.280154080779264
143,0.32890625,-12.835043269334896
144,0.328125,-13.37039230609873
145,0.32734375000000004,-13.884875294384766
146,0.32656250000000003,-14.37819761673997
147,0.32578125,-14.849102446050667
148,0.325,-15.297356557833538
149,0.32421875,-15.721779943304352
150,0.32343750000000004,-16.12220220885619
151,0.32265625000000003,-16.497527439181095
152,0.321875,-16.84764912208122
153,0.32109375,-17.171562192406864
154,0.3203125,-17.469224676052807
