,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10,surface_disp_step11,surface_disp_step12,surface_disp_step13,surface_disp_step14,surface_disp_step15,surface_disp_step16,surface_disp_step17,surface_disp_step18,surface_disp_step19,surface_disp_step20,surface_disp_step21,surface_disp_step22,surface_disp_step23,surface_disp_step24,surface_disp_step25,surface_disp_step26,surface_disp_step27,surface_disp_step28,surface_disp_step29,surface_disp_step30,surface_disp_step31,surface_disp_step32,surface_disp_step33,surface_disp_step34,surface_disp_step35,surface_disp_step36,surface_disp_step37,surface_disp_step38,surface_disp_step39,surface_disp_step40
0,0.31953125000000004,-64.3504644444638,-108.20533130250881,-149.75353774017165,-189.19795999035819,-226.6635755733449,-262.25382250404465,-296.06351465672213,-328.1819444310841,-358.69376179317214,-387.679342589261,-415.21503309515487,-441.3733585497351,-466.22321588195496,-489.8300555783848,-512.2560541742714,-533.5602780503772,-553.7988390194389,-573.0250421245543,-591.289526042088,-608.6403964599884,-625.1233527833471,-640.7818085012187,-655.6570055319667,-669.7881228484637,-683.212379669372,-695.9651334884069,-708.0799731998436,-719.5888075656127,-730.5219492570409,-740.9081946926334,-750.7748998822007,-760.1480524771262,-769.0523402165566,-777.5112159498111,-785.5469594062837,-793.1807358755307,-800.4326519521211,-807.3218084920655,-813.8663509203147,-820.0835170218337
1,0.3203125,-63.3695374702207,-106.55621650126301,-147.47157431663575,-186.3153616750473,-223.210627119042,-258.2592135792115,-291.5544749782157,-323.18433051248445,-353.23212962278495,-381.7770142556472,-408.8941593835478,-434.65497814309947,-459.127311462748,-482.3756070339671,-504.4610890752577,-525.4419195536373,-545.3733513352406,-564.3078736775349,-582.2953504473458,-599.3831514281645,-615.6162770618824,-631.0374769528704,-645.6873624460505,-659.6045135750818,-672.8255806620353,-685.3853808359205,-697.3169897240706,-708.6518285577297,-719.4197469211244,-729.649101361868,-739.3668300696361,-748.5985238197388,-757.3684933683687,-765.69983347698,-773.6144837343792,-781.1332863366728,-788.2760409772312,-795.0615569911922,-801.5077028918271,-807.6314534292115
2,0.32109375,-62.28943641314401,-104.7396994048762,-144.95717453998117,-183.13824163720113,-219.40387635222453,-253.85420446393178,-286.58100366749807,-317.67070691602197,-347.2052533372252,-375.26244477052273,-401.9161824973172,-427.23666910522365,-451.2905950494797,-474.14131470100307,-495.8490133170693,-516.470865595357,-536.061186279928,-554.6715732280783,-572.3510433181948,-589.1461615577064,-605.1011637317567,-620.2580729159627,-634.6568101603993,-648.3352996365167,-661.3295685240654,-673.6738419012495,-685.4006328881013,-696.5408282805844,-707.1237699010204,-717.1773318791572,-726.7279940674505,-735.8009117839588,-744.4199820665674,-752.607906613057,-760.3862515728164,-767.7755043476818,-774.795127551529,-781.4636102707371,-787.7985167605486,-793.8165327055873
3,0.321875,-61.114810124100515,-102.76490567450513,-142.2245063168421,-179.68625283089804,-215.26881371296568,-249.07040684846498,-281.18106348087696,-311.68557372221716,-340.66432068675556,-368.1936298231843,-394.34600084961016,-419.19030557326465,-442.791970756699,-465.2131507101171,-486.5128910065583,-506.7472839602874,-525.9696163227828,-544.2305095938252,-561.5780533179915,-578.0579317169235,-593.7135439901164,-608.5861186003784,-622.7148218444562,-636.136860994348,-648.8875822806274,-661.0005639755935,-672.5077048211837,-683.4393080343842,-693.8241611112466,-703.6896116395855,-713.0616393199261,-721.9649243843149,-730.4229125931217,-738.4578769809629,-746.0909765143236,-753.3423118153219,-760.2309780983493,-766.775115458974,-772.9919566475296,-778.897872453194
4,0.32265625000000003,-59.844373292953726,-100.62831243084416,-139.26710215548195,-175.94941512456657,-210.79147927405705,-243.88949083808254,-275.3316254927209,-305.2009238565654,-333.57610903704835,-360.53192919251273,-386.1393849839841,-410.4659235255125,-433.5756176297846,-455.52933495129935,-476.38489840723497,-496.19723851116066,-515.0185380700016,-532.8983696373027,-549.8838260881158,-566.0196446605933,-581.3483247916038,-595.9102400570898,-609.7437445122877,-622.8852737120945,-635.3694406778059,-647.2291270631247,-658.4955697596429,-669.1984431699881,-679.3659373653841,-689.0248323335421,-698.2005685124664,-706.9173137959901,-715.1980271875506,-723.0645192698742,-730.5375096498623,-737.6366815299858,-744.3807335499399,-750.7874290351073,-756.8736427815473,-762.6554055007492
5,0.32343750000000004,-58.48328965077921,-98.34001503137227,-136.1005769410273,-171.94931848614897,-205.999796486042,-238.34599823503353,-269.0740772248731,-298.2651717239269,-325.99620293133864,-352.3402092261894,-377.366568087345,-401.14118537506056,-423.7266703082429,-445.18250061383395,-465.5651791838164,-484.92838285193125,-503.3231037244551,-520.7977834451011,-537.3984407481614,-553.1687926350094,-568.1503694922443,-582.3826244539283,-595.9030372953868,-608.7472131317512,-620.9489761808318,-632.5404588370012,-643.5521862904479,-654.0131569144907,-663.9509186325188,-673.3916414655748,-682.3601864515406,-690.8801711173606,-698.9740316766716,-706.6630821165879,-713.9675703292083,-720.9067314356428,-727.4988384429575,-733.7612503674294,-739.7104579508181,-745.3621270900452
6,0.32421875,-57.030349711093244,-95.89651844827853,-132.71840177505908,-167.67580195842342,-200.87948263073102,-232.4211173995913,-262.3847362896219,-290.84947561188505,-317.8903570993881,-343.57861438214917,-367.9819097581304,-391.16451903392885,-413.18750234948226,-434.10886537353855,-453.98371218566336,-472.86439045043255,-490.8006293132753,-507.8396703927062,-524.0263922172055,-539.4034284356973,-554.0112801136125,-567.8884224106962,-581.0714059218401,-593.5949529480755,-605.4920489514542,-616.7940294348479,-627.5306624755834,-637.7302271303911,-647.4195879182338,-656.6242655772555,-665.3685042822478,-673.675335499716,-681.5666386487588,-689.0631987275527,-696.1847610572441,-702.9500832874504,-709.376984800355,-715.4823936435351,-721.2823911151389,-726.7922541188536
7,0.325,-55.49120024905111,-93.3088254941134,-129.13754225021688,-163.15225941383923,-195.4607220117496,-226.15210728426226,-255.3081598064716,-283.0058657586902,-309.3182101801636,-334.31449407446735,-358.0605449459973,-380.61889637648653,-402.0489540345417,-422.4071523638756,-441.74710321629476,-460.119737009484,-477.57343682122496,-494.1541657803186,-509.9055880899714,-524.8691840014345,-539.0843590397669,-552.5885477685913,-565.4173123665321,-577.6044362744783,-589.1820131599244,-600.1805314324193,-610.6289545324535,-620.5547972050623,-629.9841979588643,-638.9419879012472,-647.4517561308824,-655.5359118597049,-663.2157434279015,-670.5114743672639,-677.4423166605177,-684.0265213368458,-690.2814265368254,-696.2235031733334,-701.8683983086482,-707.2309763619726
8,0.32578125,-53.864715058703766,-90.57349054056274,-125.35144831421991,-158.36841171519302,-189.72899717762064,-219.51979048432065,-247.82015793540822,-274.7048436327421,-300.24470540097417,-324.5070231627801,-347.5557036924914,-369.4514552075289,-390.2519487190125,-410.0119702857002,-428.7835654145696,-446.6161761804401,-463.556771470526,-479.6499707080207,-494.9381613837799,-509.4616107068747,-523.2585716687598,-536.3653838008272,-548.8165688910506,-560.6449219120614,-571.8815974003244,-582.5561915140836,-592.6968199863038,-602.3301921780287,-611.4816814272665,-620.175391878756,-628.4342219706765,-636.2799247455548,-643.7331651442563,-650.8135744339811,-657.5398019136511,-663.929564032881,-669.9996910539265,-675.766171379517,-681.2441936633378,-686.4481868140839
9,0.32656250000000003,-52.15698914504382,-87.70235601925735,-121.37833166871053,-153.34931240845123,-183.71656718879873,-212.56391338871748,-239.96818268416067,-266.00173452198595,-290.73316780450455,-314.2276188960538,-336.5469594781044,-357.74996531354,-377.89247226496406,-397.02752355574665,-415.2055094626217,-432.4742999842548,-448.87937087216704,-464.4639233622716,-479.26899792235446,-493.33358231400047,-506.6947142525603,-519.3875789346826,-531.4456016896329,-542.900535997908,-553.7825471085539,-564.1202914751105,-573.9409922191278,-583.2705108198041,-592.1334152183882,-600.5530445165781,-608.5515704391968,-616.1500557229266,-623.3685095848064,-630.2259404165072,-636.740405843119,-642.9290602782336,-648.8082001005358,-654.3933065708483,-659.6990866026271,-664.739511493267
