,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10
40,0.054296875,-170.27200588672991,-300.74114084280944,-408.38819249705364,-497.2055043691067,-570.4868707055307,-630.9498708543741,-680.836703241419,-721.9973530461255,-755.9582030759739,-783.9786402827893
41,0.05390625,-168.79432378327527,-298.13393380927954,-404.84968040501207,-492.8988300403919,-565.5465054863241,-625.4867123040515,-674.9422276670975,-715.747024273791,-749.4142785533651,-777.1924837053423
42,0.053515625000000004,-167.2167758919898,-295.3448649814248,-401.06037014079163,-488.28400130634117,-560.250452249774,-619.6285405241649,-668.620232412959,-709.0423184268616,-742.3937931278124,-769.9114459673648
43,0.053125000000000006,-165.60908942828365,-292.5080138891764,-397.2100014390244,-483.5976386905169,-554.8744326368633,-613.6835514078498,-662.2058274596383,-702.2406258457609,-735.27256896233,-762.5265906611652
44,0.052734375,-163.9037101170786,-289.49318936160216,-393.11414251243804,-478.60960049710445,-549.1501689744757,-607.351788599327,-655.3727982551397,-694.993992435434,-727.6846661235686,-754.6571042370015
45,0.05234375,-162.16849836123876,-286.43106885427227,-388.957854991149,-473.550776829981,-543.346786001276,-600.9341376306473,-648.4483567773187,-687.6514263676121,-719.9971255929182,-746.684940206395
46,0.051953125,-160.33791701794476,-283.1951367542096,-384.56176199937175,-468.1972190218887,-537.2031365479962,-594.1385447621088,-641.1148271594969,-679.8740363705703,-711.853502261075,-738.2391359643433
47,0.051562500000000004,-158.47785574174955,-279.9124689497454,-380.10596532898353,-462.7737360662968,-530.9813404672695,-587.2581297521056,-633.6910287640907,-672.0019214604622,-703.6115022143821,-729.6919591686637
48,0.051171875000000006,-156.52489475721663,-276.46041824411094,-375.4164156771546,-457.06291192764974,-524.4277763260957,-580.0091827655001,-625.8683037657623,-663.7057639848294,-694.9247119192859,-720.6828563344485
49,0.05078125,-154.54285220783544,-272.9622652790751,-370.66798129075266,-451.2831336601319,-517.7971624851506,-572.6766150032659,-617.9565979596672,-655.3162413294847,-686.1409640679467,-711.5738492863536
50,0.050390625,-152.47052276693847,-269.29941832527237,-365.6922050682123,-445.22384758329656,-510.8437870742058,-564.9854891575546,-609.6567372124158,-646.5141056938796,-676.9243981830921,-702.0153359795677
51,0.05,-150.36955535947246,-265.5911747461185,-360.658455830591,-439.0966876173388,-503.81458148510245,-557.2120774514106,-601.269326181922,-637.6201145811257,-667.6124499796324,-692.3585479147018
52,0.049609375000000004,-148.1810526064513,-261.72317875828173,-355.40412422342945,-432.6982809958858,-496.47211435196283,-549.0906294221737,-592.5051246012857,-628.3255698332121,-657.8803162785355,-682.2653589116588
53,0.049218750000000006,-145.96440011357925,-257.81056303744003,-350.0928229175773,-426.2331885695159,-489.05515761783784,-540.8883623256819,-583.654944035569,-618.9408274082969,-648.0545296291064,-672.0756837142333
54,0.048828125,-143.6630983363436,-253.74338156784555,-344.5680366337926,-419.5055257011574,-481.33491826116415,-532.3491123093272,-574.4399125080996,-609.1682018424489,-637.8218308380057,-661.4633782043715
55,0.0484375,-141.33417890190694,-249.63242730203424,-338.9873740125637,-412.7124711327595,-473.54164889031864,-523.730639668256,-565.1406116880976,-599.3071819938114,-627.4973599954022,-650.7565314810101
56,0.048046875,-138.9236263245459,-245.37233103761827,-333.20065078020923,-405.66592399567105,-465.4555392903144,-514.7867520594293,-555.4889562198317,-589.0715410380961,-616.7798706394254,-639.6414690543149
57,0.047656250000000004,-136.48603123353618,-241.06937771396423,-327.3592330304814,-398.55538342417327,-457.2979761890828,-505.7653656504783,-545.7548771272095,-578.7494522441671,-605.9726390085334,-628.4339640803015
58,0.047265625000000006,-133.96994444538905,-236.62293463677327,-321.31949423469524,-391.20081540667536,-448.85846213841785,-496.43062839393696,-535.6814765628354,-568.0665748325736,-594.7868806727668,-616.8332790717677
59,0.046875,-131.4274324732075,-232.1346176649918,-315.2263294486339,-383.78375432539036,-440.3491857216914,-487.0202410360229,-525.5276313419065,-557.2993362630175,-583.5135557892794,-605.1424008437557
60,0.046484375,-128.80969088691432,-227.50868324608706,-308.9428868060547,-376.13250399552555,-431.56927819762063,-477.30904502001414,-515.0480151249288,-546.1856912475107,-571.8767724179473,-593.073976713787
61,0.04609375,-126.16618275010418,-222.8419241477354,-302.60737165585067,-368.4203610269626,-422.7214117705642,-467.52416998097374,-504.49006385925753,-534.9899091943006,-560.1547412686975,-580.9177563531148
62,0.045703125000000004,-123.45082245964956,-218.04363050318287,-296.0899124897316,-360.4842242055928,-413.6146463664221,-457.4514862896186,-493.6203874868768,-523.4626293170509,-548.0848719145516,-568.4001974284158
63,0.045312500000000006,-120.7103945541751,-213.2056258709516,-289.52181724493835,-352.488892867289,-404.44183520824345,-447.30721415768744,-482.674613246002,-511.8555707361543,-535.9322132379797,-555.7973834579915
64,0.044921875,-117.9016021068073,-208.24237075634562,-282.7803895368455,-344.28010442644256,-395.02225124754875,-436.8885709704719,-471.4316333415261,-499.93242619463433,-523.4478643838979,-542.8499862273577
65,0.04453125,-115.0684801965111,-203.24058111351567,-275.98984294073495,-336.01391472147617,-385.53864149117555,-426.4005462974558,-460.1149169789616,-487.9319919817257,-510.8833206898565,-529.8200155553598
66,0.044140625,-112.17058626519955,-198.12001673435856,-269.03484012801346,-327.54513006990095,-375.8207607799102,-415.65200538575516,-448.5159659265938,-475.6313635268723,-498.00373807863525,-516.4627394524341
67,0.043750000000000004,-109.2491391838193,-192.9621554029527,-262.03231427882827,-319.0208300784628,-366.0409782888993,-404.8364033236243,-436.84576086746335,-463.25606177889074,-485.0466876502688,-503.02570833431065
68,0.043359375000000006,-106.26661176666721,-187.69217640530823,-254.87445894624707,-310.3051053060938,-356.0397823333709,-393.77453485406807,-424.9087196237221,-450.59691188323603,-471.7917260971379,-489.2791444318421
69,0.04296875,-103.26134448959358,-182.38619728592377,-247.67075271155923,-301.5358409986273,-345.97890954415766,-382.6480355462896,-412.90302423418586,-437.86582859985117,-458.4621523164163,-475.4557766608508
70,0.042578125,-100.19878218440407,-176.97492886260994,-240.3210804324661,-292.58661319820686,-335.7098169684192,-371.28989310174853,-400.64629537146595,-424.86767286937084,-444.8522457744219,-461.3411166249591
71,0.0421875,-97.11432906336569,-171.5290144795481,-232.92730321412714,-283.585908669135,-325.3833702105232,-359.86965659956815,-388.3236258914652,-411.800443249047,-431.170707067702,-447.1527323633514
72,0.041796875000000004,-93.97645366325168,-165.98479930648176,-225.39714481604022,-274.4169743484723,-314.86221198997384,-348.2327497908312,-375.76610404716683,-398.48331908877344,-417.2268358225386,-432.69173443560544
73,0.041406250000000006,-90.81757098838551,-160.40734769345482,-217.82469875325583,-265.1987101568048,-304.2861166406191,-336.53638857996236,-363.1454649495987,-385.1000961002954,-403.214432757853,-418.16021609626296
74,0.041015625,-87.6092204963054,-154.7387335687544,-210.12566352092355,-255.82420478072484,-293.5291126224348,-324.6386570725196,-350.30650879468783,-371.4845329840019,-388.9580922951638,-403.37517280323766
75,0.040625,-84.38077941362548,-149.03834574831424,-202.38622648431564,-246.40259724297246,-282.7196793451427,-312.6842097909346,-337.40736442275573,-357.8059572866112,-374.63643608483966,-388.5229323820314
