# cores, DOFs, Outer, FS0 (mean), FS1, Time(s)
104, 6431301, 8, 95, 2, 2.1428e+03
832, 47037051, 8, 125, 2, 2.8422e+03 
6656, 368166579, 8, 161, 2, 3.9705e+03

