# cores, DOFs, Outer, FS0 (mean), FS1, Time(s)
832, 892353603, 6, 25, 2, 7.1966e+03
1664, 892353603, 6, 26, 2, 3.9446e+03
3328, 892353603, 6, 26, 2, 2.1530e+03
6656, 892353603, 6, 26, 2, 1.1577e+03

