# cores, DOFs, Outer, FS0 (mean), FS1, Time(s)
832, 368166579, 8, 155, 2, 2.3456e+04
1664, 368166579, 8, 156, 2, 1.2250e+04
3328, 368166579, 8, 158, 2, 6.9318e+03
6656, 368166579, 8, 161, 2, 3.9705e+03

