0,0.102564102564106
2,-0.205128205128201
4,-0.820512820512817
6,-1.64102564102564
8,-2.66666666666666
10,-3.69230769230769
12,-4.92307692307692
14,-6.15384615384615
16,-7.48717948717948
18,-8.82051282051282
20,-10.2564102564103
22,-11.7948717948718
24,-13.2307692307692
26,-14.6666666666667
28,-16
30,-17.6410256410256
32,-19.0769230769231
34,-20.6153846153846
36,-22.1538461538462
38,-23.6923076923077
40,-25.2307692307692
42,-26.7692307692308
44,-28.3076923076923
46,-29.8461538461538
48,-31.2820512820513
50,-32.9230769230769
52,-34.3589743589744
54,-35.8974358974359
56,-37.3333333333333
58,-38.8717948717949
60,-40.5128205128205
62,-41.9487179487179
64,-43.4871794871795
66,-45.025641025641
68,-46.5641025641026
70,-48.1025641025641
72,-49.6410256410256
74,-51.1794871794872
76,-52.7179487179487
78,-54.2564102564103
80,-55.7948717948718
82,-57.2307692307692
84,-58.8717948717949
86,-60.3076923076923
88,-61.9487179487179
90,-63.5897435897436
92,-61.5384615384615
94,-56.5128205128205
96,-49.5384615384615
98,-41.1282051282051
100,-31.6923076923077
102,-24.5128205128205
104,-19.2820512820513
106,-15.2820512820513
108,-12.2051282051282
110,-9.94871794871795
