0,3.5527136788005E-15
2,-0.512820512820509
4,-1.12820512820512
6,-2.05128205128205
8,-3.07692307692307
10,-4.1025641025641
12,-5.33333333333333
14,-6.56410256410256
16,-7.89743589743589
18,-9.23076923076923
20,-10.6666666666667
22,-12.1025641025641
24,-13.5384615384615
26,-14.974358974359
28,-16.4102564102564
30,-17.948717948718
32,-19.4871794871795
34,-21.025641025641
36,-22.4615384615385
38,-24
40,-25.5384615384615
42,-27.0769230769231
44,-28.6153846153846
46,-30.051282051282
48,-31.5897435897436
50,-33.1282051282051
52,-34.7692307692308
54,-36.3076923076923
56,-37.8461538461538
58,-39.3846153846154
60,-40.9230769230769
62,-42.4615384615385
64,-44
66,-45.6410256410256
68,-47.0769230769231
70,-48.6153846153846
72,-50.2564102564103
74,-51.7948717948718
76,-53.2307692307692
78,-54.7692307692308
80,-56.4102564102564
82,-57.9487179487179
84,-59.5897435897436
86,-61.025641025641
88,-62.5641025641026
90,-63.8974358974359
92,-62.4615384615385
94,-57.7435897435897
96,-51.0769230769231
98,-42.4615384615385
100,-32.9230769230769
102,-25.3333333333333
104,-19.7948717948718
106,-15.6923076923077
108,-12.5128205128205
110,-9.94871794871795
